date,node_id,lv1_in_if_id,lv1_eg_if_id,hop_latency,queue_id,queue_occupancy,ingress_timestamp,egress_timestamp,lv2_in_if_id,lv2_eg_if_id,eg_if_tx_util,buffer_id,buffer_occupancy,l4_port,l4_proto
08/07/2021 12:24:18,4,N/A,N/A,371,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:20,1,N/A,N/A,2749,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:20,2,N/A,N/A,864,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:20,4,N/A,N/A,413,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:21,1,N/A,N/A,3031,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:21,2,N/A,N/A,1019,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:21,4,N/A,N/A,375,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:23,1,N/A,N/A,3650,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:23,2,N/A,N/A,1376,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:23,4,N/A,N/A,377,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:34,1,N/A,N/A,3080,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:34,2,N/A,N/A,967,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:34,4,N/A,N/A,391,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:37,1,N/A,N/A,2818,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:37,2,N/A,N/A,891,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:24:37,4,N/A,N/A,261,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,2108,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
